type,text
product,"Represent this banking product for retrieval: {
  ""Product Name"": ""Platinum Credit Card"",
  ""Category"": ""Credit Card"",
  ""Eligibility Criteria"": ""Income > $100K"",
  ""Benefits"": ""5x travel points, lounge access"",
  ""Ideal Customer Profile"": ""High-spending professionals"",
  ""Interest Tags"": ""Travel, Luxury"",
  ""Reference Doc"": ""https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf""
}"
product,"Represent this banking product for retrieval: {
  ""Product Name"": ""Gold Credit Card"",
  ""Category"": ""Credit Card"",
  ""Eligibility Criteria"": ""Income > $50K"",
  ""Benefits"": ""Cashback on groceries & fuel"",
  ""Ideal Customer Profile"": ""Mid-income customers"",
  ""Interest Tags"": ""Daily Expenses, Cashback"",
  ""Reference Doc"": ""https://www.adobe.com/content/dam/cc/us/en/creative-cloud/photography/discover/sample-photography.pdf""
}"
product,"Represent this banking product for retrieval: {
  ""Product Name"": ""Personal Loan"",
  ""Category"": ""Loan"",
  ""Eligibility Criteria"": ""Income > $50K"",
  ""Benefits"": ""Low-interest rate"",
  ""Ideal Customer Profile"": ""Mid-income customers"",
  ""Interest Tags"": ""Home Renovation, Debt Consolidation"",
  ""Reference Doc"": ""https://www.learningcontainer.com/wp-content/uploads/2020/05/sample-pdf-file.pdf""
}"
product,"Represent this banking product for retrieval: {
  ""Product Name"": ""Home Loan"",
  ""Category"": ""Loan"",
  ""Eligibility Criteria"": ""Income > $40K, Credit Score > 700"",
  ""Benefits"": ""Low EMI, flexible tenure"",
  ""Ideal Customer Profile"": ""First-time home buyers"",
  ""Interest Tags"": ""Real Estate, Investment"",
  ""Reference Doc"": ""https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf""
}"
product,"Represent this banking product for retrieval: {
  ""Product Name"": ""High-Yield Savings"",
  ""Category"": ""Bank Account"",
  ""Eligibility Criteria"": ""No minimum balance"",
  ""Benefits"": ""4% interest rate"",
  ""Ideal Customer Profile"": ""Savers, Students"",
  ""Interest Tags"": ""Saving, Budgeting"",
  ""Reference Doc"": ""https://www.adobe.com/content/dam/cc/us/en/creative-cloud/photography/discover/sample-photography.pdf""
}"
product,"Represent this banking product for retrieval: {
  ""Product Name"": ""Fixed Deposit"",
  ""Category"": ""Investment"",
  ""Eligibility Criteria"": ""Minimum $500 deposit"",
  ""Benefits"": ""5% annual return"",
  ""Ideal Customer Profile"": ""Conservative investors"",
  ""Interest Tags"": ""Wealth Preservation"",
  ""Reference Doc"": ""https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf""
}"
product,"Represent this banking product for retrieval: {
  ""Product Name"": ""Mutual Funds"",
  ""Category"": ""Investment"",
  ""Eligibility Criteria"": ""Income > $30K"",
  ""Benefits"": ""Market-linked returns"",
  ""Ideal Customer Profile"": ""Moderate-risk investors"",
  ""Interest Tags"": ""Wealth Growth, Diversification"",
  ""Reference Doc"": ""https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Anonymous_emblem.svg/1024px-Anonymous_emblem.svg.png""
}"
product,"Represent this banking product for retrieval: {
  ""Product Name"": ""Health Insurance"",
  ""Category"": ""Insurance"",
  ""Eligibility Criteria"": ""Age < 60, No pre-existing conditions"",
  ""Benefits"": ""Covers hospitalization & OPD"",
  ""Ideal Customer Profile"": ""Families, Working professionals"",
  ""Interest Tags"": ""Healthcare, Protection"",
  ""Reference Doc"": ""https://www.learningcontainer.com/wp-content/uploads/2020/05/sample-pdf-file.pdf""
}"
product,"Represent this banking product for retrieval: {
  ""Product Name"": ""Travel Insurance"",
  ""Category"": ""Insurance"",
  ""Eligibility Criteria"": ""Frequent travelers"",
  ""Benefits"": ""Covers medical & trip cancellations"",
  ""Ideal Customer Profile"": ""Business & Leisure travelers"",
  ""Interest Tags"": ""Travel, Safety"",
  ""Reference Doc"": ""https://www.learningcontainer.com/wp-content/uploads/2020/05/sample-pdf-file.pdf""
}"
product,"Represent this banking product for retrieval: {
  ""Product Name"": ""Cyber Security Insurance"",
  ""Category"": ""Insurance"",
  ""Eligibility Criteria"": ""Digital banking customers"",
  ""Benefits"": ""Covers online fraud"",
  ""Ideal Customer Profile"": ""Frequent online shoppers"",
  ""Interest Tags"": ""Digital Security"",
  ""Reference Doc"": ""https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf""
}"
